arjun	ɑː dʒ ʊ n
suyoug	s ʉː j ʉː ɡ
prachi	p ɹ ə c i
kunal	k ʊ n ə l
diwali	ɖ ɪ ʋ ɑː ʎ i
rutwik	ɹ ə ʈ ʋ ɪ k
thiv	t̪ ɪ ʋ
ziyan	z ɪ aj ə n
abhishek	ə bʲ ɪ ʃ eː k
bharathushan	b a ɹ a t̪ ʊ ʃ ɑː n
aranamuthan	a ɹ ə n ɑː m ə t̪ ə n
del	ɖ ɛ l
lakshay	l ə c ʃ eː
mangaraj	m a ŋ ɡ ə ɹ ɑː dʒ
saptahotre	s a p ʈ ə h oː ʈ ə
jeylani	dʒ ɛ ɪ l ə ɲ i
sunel	s ʉː n ɛ l
gopitha	ɡ ɒ p ɪ t̪ ə
helasa	h ɛ l ə s ɑ
sanjivni	s a n dʒ ɪ ʋ ɲ i
ganeshkumar	ɡ ə ɲ eː ʃ k ʉː m ɑː
soumava	s ʉː m ə ʋ ə
yishai	j ɪ ʃ aj
aleiny	ə l ɛ ɲ i
yuktvaa	j ʉː k ʈ ʋ ə ə
thayashana	t̪ eː ɑː ʃ ɑː n ə
sitaa	s ɪ ʈ ə ə
thilibhan	t̪ ɪ ʎ ɪ b h ə n
dharshidhan	ɖ ɑː ʃ iː ɖ h ə n
shriamogha	ʃ ɹ aj ə m ɒ ɡ ɑː
ratnakundala	ɹ a n ə k ʉː n ɖ ə l ə
madisson	m a ɖ ɪ s ə n
jhoomer	dʒ h ʉː m ə ɾ
aiswari	aj ʋ ɑː ɹ i
dharmakshetra	ɖ ɑː m ə c ʃ ɛ ʈ ɹ ə
surendaran	s ʊ ɹ ɛ n ɖ ɹ ə n
thanvesh	t̪ a ŋ ʋ ʃ
rhenlee	ɹ iː ɲ ʎ iː
aryvansh	a ɹ ɪ ʋ a n ʃ
flor	f l ɒː
asfaq	eː ɛ s ɛ f eː c ʉː
yashodayashase	j a ʃ ɒ ɖ ə j ə ʃ eː z
mageshbabu	m ə dʒ ɛ ʃ b ɑː b ʉː
gokulram	ɡ ɒ k ə l ə m
kalel	k a l ə l
surveysan	s ɜː ʋ eː z ə n
graycelynn	ɟ ɹ eː s ə ʎ ɪ n
yadhithra	j ə ɖ ç ɪ t̪ ɹ ə
sathiaseelan	s a t̪ aj ə s ə l a n
ellisyn	ɛ ʎ ɪ s ɪ n
parthepan	p ɑː t̪ ɪ p ə n
dailany	ɖ aj l ə ɲ i
baisley	b eː z ʎ i
danta	ɖ a n ʈ ə
khandendutilaka	k a n ɖ ɛ n ɖ ʉː ʈʲ ɪ l ə k ə
ikshita	aj c ʃ iː ʈ ə
meiammai	m aj a m m eː
owynn	oː ɪ n
aakesh	c ʃ
zacarias	z a c ɛː ɹ i a s
nayanthini	ɲ eː ə n t̪ iː ɲ i
suryan	s j ʊ ɹ aj ə n
keerthikarasan	c ɛ ə t̪ aj k ɑː ɹ ə s ə n
varshik	ʋ ɑː ʃ ɪ k
roxann	ɹ ɒ k s a n
kaushali	k aw ʃ ɑː ʎ i
arlene	ɑː ʎ iː n
kamalanatha	k ɑː m ə l ə n ə t̪ ə
munimandana	mʲ ʉː ɲ ɪ m a n ɖ a n ə
thayakan	t̪ eː ɑː k ə n
kaviyanayagi	k ɑː ʋ i j ə n ɑː j ə dʒ ɪ
khatvik	k ɑː ʈ ʋ ɪ k
ednit	ɛ ɖ ɲ ɪ ʈ
gurusaravanan	ɡ ʉː ɹ ʉː z ə ɹ a ʋ ɪ n ə n
reshwar	ɹ ɛ ʃ ʋ ɒː
mumtaz	m ə m ʈ a z
laray	l ɑː i
naveta	ɲ eː ʋ ʈ ə
anbukkiniyal	a n b ə c ɪ ɲ ɪ j ɑː l
rajashekar	ɹ ɑː dʒ ə ʃ ɛ k ɑː
ikhlas	iː c l ə s
jaycier	dʒ eː s j ə
xiomar	ʃ ʊ m ɑː
hadlie	h a ɖ ʎ i
amely	eː m ʎ i
ahalyan	ə h a l j ə n
haarith	h a ə ɹ ɪ t̪
yath	j t̪
gajaghne	ɡ a dʒ a ɡ n
baveena	b a ʋ iː n ə
arshla	ɑː ʃ l ə
paridh	p a ɹ ɪ ɖ
narumukai	n ɑː ʉː mʲ ə k aj
kalijah	k a ʎ ɪ j ə
raktambaradhara	ɹ a k ʈ a m b ɑː ɑː d̪ ɑː ɹ ə
mathunesh	m a t̪ j ʉː n ʃ
dhakshinraj	d̪ ɑː c ʃ ɪ n ɹ ɑː dʒ
vishant	ʋ ɪ ʃ ə n ʈ
jootheesan	dʒ oː ə t̪ iː z ə n
vipralabdha	ʋ aj p ɹ ə l ə b ɖ ə
suta	s ʉː ʈ ə
rang	ɹ a ŋ
naithik	ɲ eː t̪ ɪ k
menakai	mʲ ɪ n a k aj
gurumoorthy	ɡ ʉː ɹ ʉː m ə t̪ i
meiyalagan	m eː j ə l ɑː ɡ ə n
suprabhavana	s ʉː p ɹ ə b h ə ʋ a n ə
prajkumar	p ɹ ə dʒ k ʉː m ɑː
yogashree	j oː ɡ ə ʃ ɹ iː
chaisaran	tʃ aj s ə ɹ ɑː n
austynn	ɒ s ʈ ɪ n
anandakara	ə n a n ɖ ə k ɑː ɹ ə
jivishna	dʒ aj ʋ ɪ ʃ n ə
vigashan	ʋ iː ɡ ə ʃ ɑː n
tyriek	ʈ aj ɹ i k
rajasundaram	ɹ ɑː dʒ ə z ʊ n ʈ ɛː ɹ ə m
zaelynn	z a ə l ɪ n
lema	l ɛ m ə
janavi	dʒ ə n ɑː ʋ i
jeyathees	dʒ ɛ ə t̪ iː z
